Part Number,Impedance,Test Frequency,DC Resistance,Rated Current
HFZ1005PF-100T40,10±25%,100,0.018,4000
HFZ1005PF-300T30,30±25%,100,0.022,3000
HFZ1005PF-600T25,60±25%,100,0.032,2500
HFZ1005PF-800T23,80±25%,100,0.038,2300
HFZ1005PF-121T20,120±25%,100,0.050,2000
HFZ1005PF-221T15,220±25%,100,0.095,1500
HFZ1005PF-301T12,300±25%,100,0.150,1200
HFZ1005PF-471T11,470±25%,100,0.180,1100
HFZ1005PF-601T10,600±25%,100,0.200,1000
HFZ1608PF-300T50,30±25%,100,0.010,5000
HFZ1608PF-600T40,60±25%,100,0.020,4000
HFZ1608PF-800T30,80±25%,100,0.030,3000
HFZ1608PF-101T30,100±25%,100,0.030,3000
HFZ1608PF-121T30,120±25%,100,0.035,3000
HFZ1608PF-151T25,150±25%,100,0.040,2500
HFZ1608PF-221T23,220±25%,100,0.050,2300
HFZ1608PF-301T22,300±25%,100,0.070,2200
HFZ1608PF-471T20,470±25%,100,0.090,2000
HFZ1608PF-601T20,600±25%,100,0.095,2000
HFZ1608PF-102T15,1000±25%,100,0.150,1500
HFZ2012PF-300T85,30±25%,100,0.004,8500
HFZ2012PF-700T60,70±25%,100,0.009,6000
HFZ2012PF-111T50,110±25%,100,0.013,5000
HFZ2012PF-181T40,180±25%,100,0.020,4000
HFZ2012PF-331T28,330±25%,100,0.040,2800
HFZ2012PF-471T25,470±25%,100,0.050,2500
HFZ2012PF-601T23,600±25%,100,0.060,2300
HFZ2012PF-102T16,1000±25%,100,0.120,1600
HFZ3216PF-300T110,30±25%,100,0.0025,11000
HFZ3216PF-500T120,50±25%,100,0.0025,12000
HFZ3216PF-121T60,120±25%,100,0.0090,6000
HFZ3216PF-271T45,270±25%,100,0.0160,4500
HFZ3216PF-471T40,470±25%,100,0.0200,4000
HFZ3216PF-601T29,600±25%,100,0.0380,2900
HFZ3216PF-801T25,800±25%,100,0.0500,2500
HFZ3216PF-102T20,1000±25%,100,0.0750,2000
